[2019-02-21 10:45:31,408] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:43} WARNING - REQUEST_LOG	{"request": {"client_key": "aku", "client_secret": "aku"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTA3MjA3MzEsIm5iZiI6MTU1MDcyMDczMSwianRpIjoiMTgyYzQ1ZWUtMjJkYi00NDk3LThiNWUtMjM5ZTYxYWQzMjY2IiwiZXhwIjoxNTUwODA3MTMxLCJpZGVudGl0eSI6eyJjbGllbnRfaWQiOjEsImNsaWVudF9zZWNyZXQiOiJha3UiLCJjbGllbnRfa2V5IjoiYWt1Iiwic3RhdHVzIjp0cnVlfSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiY2xpZW50X2lkIjoxLCJjbGllbnRfc2VjcmV0IjoiYWt1IiwiY2xpZW50X2tleSI6ImFrdSIsInN0YXR1cyI6dHJ1ZX19.dJab2KZIO4JB3pXi0gb90vUmSOsrWqQhZEhJpiVW64w"}}
[2019-02-21 10:47:11,044] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:43} WARNING - REQUEST_LOG	{"request": {"isbn": "12345", "title": "Nama ke 5", "penerbit": "romapng", "harga": 12345}, "response": {"message": "SUCCESS"}}
[2019-02-21 10:47:27,536] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:43} WARNING - REQUEST_LOG	{"request": {"isbn": "12345", "title": "Nama ke 5", "penerbit": "romapng", "harga": "aaa"}, "response": {"message": {"harga": "invalid literal for int() with base 10: 'aaa'"}}}
[2019-02-21 10:47:37,512] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:43} WARNING - REQUEST_LOG	{"request": {"isbn": "12345", "title": "Nama ke 5", "penerbit": "romapng"}, "response": {"message": {"harga": "Missing required parameter in the JSON body"}}}
[2019-02-21 10:48:45,433] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:41} WARNING - REQUEST_LOG	{"request": {}, "response": {"msg": "Missing Authorization Header"}}
[2019-02-21 10:48:51,623] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:41} WARNING - REQUEST_LOG	{"request": {}, "response": {"page": 1, "total_page": 1, "per_page": 25, "data": [{"id": 1, "isbn": "12345", "title": "Nama ke 5", "pengarang": "", "penerbit": "romapng", "harga": 12345, "status": "show", "url_picture": "", "client_id": 1}]}}
[2019-02-21 10:49:44,511] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:43} WARNING - REQUEST_LOG	{"request": {"isbn": "12345", "title": "Nama ke 5", "penerbit": "romapng", "harga": 12345}, "response": {"message": "SUCCESS"}}
[2019-02-21 10:49:47,863] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:41} WARNING - REQUEST_LOG	{"request": {}, "response": {"page": 1, "total_page": 1, "per_page": 25, "data": [{"id": 1, "isbn": "12345", "title": "Nama ke 5", "pengarang": "", "penerbit": "romapng", "harga": 12345, "status": "show", "url_picture": "", "client_id": 1}, {"id": 2, "isbn": "12345", "title": "Nama ke 5", "pengarang": "", "penerbit": "romapng", "harga": 12345, "status": "show", "url_picture": "", "client_id": 1}]}}
[2019-02-21 10:51:34,908] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:41} WARNING - REQUEST_LOG	{"request": {}, "response": {"message": "The requested URL was not found on the server.  If you entered the URL manually please check your spelling and try again."}}
[2019-02-21 10:52:00,008] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:41} WARNING - REQUEST_LOG	{"request": {}, "response": {"page": 1, "total_page": 1, "per_page": 25, "data": [{"id": 1, "isbn": "12345", "title": "Nama ke 5", "pengarang": "", "penerbit": "romapng", "harga": 12345, "status": "show", "url_picture": "", "client_id": 1}, {"id": 2, "isbn": "12345", "title": "Nama ke 5", "pengarang": "", "penerbit": "romapng", "harga": 12345, "status": "show", "url_picture": "", "client_id": 1}]}}
[2019-02-21 11:04:47,927] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:41} WARNING - REQUEST_LOG	{"request": {}, "response": {"msg": "Missing Authorization Header"}}
[2019-02-21 11:04:53,205] {/home/alphatech/live_code_rest_api/rest_svc/blueprints/__init__.py:41} WARNING - REQUEST_LOG	{"request": {}, "response": {"page": 1, "total_page": 1, "per_page": 25, "data": [{"id": 1, "isbn": "12345", "title": "Nama ke 5", "pengarang": "", "penerbit": "romapng", "harga": 12345, "status": "show", "url_picture": "", "client_id": 1}, {"id": 2, "isbn": "12345", "title": "Nama ke 5", "pengarang": "", "penerbit": "romapng", "harga": 12345, "status": "show", "url_picture": "", "client_id": 1}]}}
[2019-03-10 06:42:09,243] {/home/alphatech/WEEKEND_PROJECT/flask/rest_svc/blueprints/__init__.py:39} WARNING - REQUEST_LOG	{"request": {}, "response": {"message": "The requested URL was not found on the server.  If you entered the URL manually please check your spelling and try again."}}
[2019-03-10 06:42:09,316] {/home/alphatech/WEEKEND_PROJECT/flask/rest_svc/blueprints/__init__.py:39} WARNING - REQUEST_LOG	{"request": {}, "response": {"message": "The requested URL was not found on the server.  If you entered the URL manually please check your spelling and try again."}}
